id,eng_prompt,lug_prompt,ach_prompt,teo_prompt,lgg_prompt,nyn_prompt
607,Many organizations implement structured work hours to enhance productivity and ensure that tasks are completed efficiently. This approach helps maintain a balance between work and personal life for their employees.,Ebitongole bingi biteekawo essaawa z'emirimu ezitegekeddwa okwongera ku buwanguzi n'okukakasa nti emirimu giwedde bulungi. Enkola eno eyamba okukuuma enzikiriziganya wakati w'emirimu n'obulamu obw'obuntu eri abakozi baabwe.,Dule mapol giyubu cawa me tic pi medo rwom me tic ki neno ni tic otum maber. Yoo man konyo lutic me gwoko rwom me tic ki kwo gi.,Iriongeta luipu itemonokinete isawan lu iswamaere kanu aikeun eswamae ka awanyun ebe itodolikinete aswam ejok. Ingarakinit epone lo aidar eirian kiding aswam keda aijar naka itunga.,Amuti karakara eyi sa'wa 'bani azi ngazu 'diyi 'ba sa'wa 'bani azi ngazu 'diyi ma alea eyini ani azi eyi ma dezu kililiru beni. Geri 'di ni fe azi'ba eyini aa'zu aa'zu aa'zu aa'zu aa'zu aa'zu aa'zu aa'zu aa'zu aa'zu aa'zu aa'zu aa'zu aa'zu aa'zu aa'zu aa'zu aa'zu aa'zu aa'zu aa'zu aa'zu aa'zu aa'zu aa'zu aa'zu aa'zu aa'zu aa'zu aa,"Ebitongore ebingi nibiteekaho eshaaha z'okukoreramu, okureeba ngu emirimo ekorwa kurungi. Enkora egi neehwera abakozi kurinda oburinganiza ahagati y'emirimo n'amagara gaabo."
608,"In order to maintain productivity and meet company goals, it is essential for all team members to adhere to their scheduled shifts. This ensures that projects are completed on time and that collaboration among colleagues is effective.","Okusobola okukuuma ebikolebwa n'okutuukiriza ebiruubirirwa bya kampuni, kya mugaso eri bammemba ba ttiimu bonna okunywerera ku mirimu gyabwe egyateekebwawo. Kino kikakasa nti pulojekiti ziwedde mu budde n'enkolagana wakati wa bannamikago ekola bulungi.","Me gwoko tic maber ki cobo miti pa dul ne, pire tek tutwal pi lumemba me dul tic me lubu kare gi me tic. Man neno ni yub weng otum ikare ki bene winye ikin lutic tye maber.","Kanu aidar eswamae loajokan ka aitodolikin alosikineta nuka ekampuni, ejokuna itunga kere luka etimu aitodolikin aswamukec. Einakini ngin awanyun ebe engetanakinio ipurojektin kotoma apak ka aiswamanara kanejaas ipaupa.","Azi ngaza ma ta mbazu azini otita amuti ni 'diyi ma e'yo 'yezu, eri orodriru 'ba dria amuti ma alia 'diyini azi yini 'diyi 'yezu sa'wa yini 'diyi ma alia. Diri ne ra kini 'ba otita eyi de sa'wa dria dika ti ecita 'ba eyi ma eselea ri ma omgbo ni tu ra.","Okugumizamu n'okukora n'okuhikiiriza ebigyendererwa bya kampuni, ni kikuru ba memba ba tiimu boona okukuratira enteekateeka yaabo. Eki nikihamya ngu purogyekiti nizimara omu bwire kandi ngu okukwatanisa omu bakozi bagyenzi baabo nikukora kurungi."
609,"In today's collaborative work environment, it is essential to involve team members in the strategic process. Their diverse perspectives and insights can significantly enhance the quality of decisions made.","Mu mbeera ya leero ey'okukolera awamu, kya mugaso okwetabyamu bammemba ba ttiimu mu nkola y'obukodyo. Endowooza zaabwe ez'enjawulo n'okutegeera bisobola okulongoosa ennyo omutindo gw'okusalawo okukolebwa.","I kare me tic matye kombedi, pire tek tutwal me kelo lumemba me dul tic I yub mapat-pat mapat-pat. Tam gi mapat-pat twero medo rwom me moko tam ma kimoko.","Kotoma ojautene loka aswam loimorikikina ilolo, ejokuna noi aimorikikin itunga luka etimu aswam iboro luibusakinit aswam. Iponesio kec luegelegela ka acoasineikec epedorete aitojokar adoketait na aseununeta nu iswamao.","Azi ngaza tualuri ma alia, eri orodriru 'ba amuti ma alia 'diyi suzu e'yo otita ni 'diyi ma alia indi. Egata eyini ndundu 'diyi azini ondua eyini 'diyi eco e'yo 'bani pe 'diyi ma omgbo otu ra.","Omu mirimo y'erizooba ey'okukorera hamwe, n'eky'omugasho okwetabamu ba memba ba tiimu omu kukora enteekateeka. Ebiteekateeko byabo ebitarikushushana nibibaasa kwongyera aha mutindo gw'ebiteiso ebikozirwe."
610,"In the competitive landscape of the market, companies strive to maximize their financial performance. To achieve sustainability and growth, organizations must focus on their revenue generation strategies.","Mu nsi y'okuvuganya mu katale, amakampuni gakola butaweera okutumbula enkola yaago ey'ensimbi. Okusobola okutuuka ku buwangaazi n'okukulaakulana, ebitongole birina okussa essira ku nkola zaabyo ez'okufunamu ensimbi.","I kare man ma pyem tye matek tutwal I cuk, dul mapat-pat tye ka yele me medo rwom me limgi. Pi dongo lobo, dul mapat-pat omyero guket cwinygi I kom yoo me nongo lim.","Kotoma abolobol naka esokoni, ekotosi ikampunin aitojokar eswamae kec loka ikapun. Kanu aitodolikin apol keda apol, ekot iriongeta apodokinit aitolomun ikapun.","E'yo baka seza cuu ma alia 'diyi ma alia, amuti yi okpo 'ba geri yini ecozu robia esuzu 'diyi ma omgbo otuzu. Aa'zu ewu drile ri ma alea tualu zota be, le amuti eyi ma 'ba asi geri eyini robia esuzu 'diyi ma dria.","Omu bwire bw'okuhayahayana omu katare, kampuni nizigyezaho kukora kurungi omu by'empiiha. Okuhikiiriza entunguuka n'entunguuka,ebitongore bishemereire kuta amaani omu kukora esente."
611,The atmosphere in the office had grown increasingly tense as rumors of layoffs circulated. Many employees were left feeling anxious and uncertain about their future with the company.,Embeera mu ofiisi yali yeeyongedde okuba ey'obunkenke ng'olugambo lw'okugoba abantu mu mirimu lutambula. Abakozi bangi baalekebwa nga beeraliikirivu era nga tebalina bukakafu ku biseera byabwe eby'omu maaso mu kampuni.,Lworo obedo ka medde I gang tic ne I kare ma lok angeya me kwanyo dano I tic ocako wot. Lutic mapol gubedo ki lworo tutwal I kom anyimgi I kampuni.,Abu ejautene loka eyapiesi kiyatakin noi naarai apotu akiro nuka aitobwot itunga kotoma aswam. Aponi kojalakinai eswamak luipu aiyalongong ido mam ejenete nuikamunitos ingaren kec keda ekampuni.,Angu ofisi 'da ma alea ri eca ndra asi otiza ru e'yo 'bani 'ba ofuzu azi'a 'diyi ma dria 'diyi ni acizu risi. Azi'ba karakara eyi awi asi otiza be dika eyi aa ni e'yo eyi ma ewu drialeri ni amuti 'da be ri ma dria ku.,Embeera omu ofiisi ekaba eyeyongyeire kuba ey'obunkenke ahabw'orugambo rw'okwiha abantu omu mirimo yaabo. Abakozi baingi bakasigara baine okwerarikirira n'okwerarikirira aha biro byabo by'omumaisho omu kampuni.
612,"In many companies, the hiring process for informal positions lacks the structure and documentation found in formal employment. As a result, these employees often face abrupt dismissals without any official notice or agreement.","Mu makampuni mangi, enkola y'okupangisa abantu mu bifo ebitali bya bulijjo terina nkola n'ebiwandiiko ebisangibwa mu mirimu emitongole. N'ekivuddemu, abakozi bano batera okugobebwa mu bwangu nga tebategeezeddwa oba nga tebakkiriziganyizza.","I dul mapat-pat mapol, yub me coyo dano pi tic ma pe jenge I kom gamente peke ki yub ki coc ma nonge I tic matye I gamente. Macalo adwogi ne, lutic magi ipol kare ki ryemo gi atura labongo ngec onyo winye.","Kokampunin luipu, epone loka aipagis itunga kanu aiboisio numam eraasi nuka apugan emamiatatar keda aiwadikaeta nuka aswam. Kanuka ngun, etapit duc eswamak lu airengear katipet komam alimor arai acamanar.","Amuti karakara eyi ma alea, e'yo 'bani 'ba eyi 'duzu pari azita palaa ku 'diyi ma alea 'diyi ma alea 'diyi ma sita azini kokobi 'bani isule azi ngaza azita palaa 'diyi ma alea 'diyi yo. E'yo 'disi, azi'ba 'diyi dri fu e'yo 'bani yi odrozu e'yo azita palaa ku 'diyi be.","Omu kampuni enyingi, enkora y'okupangisa abantu kukora emirimo etari ya buriijo, teine nkora n'ebihandiiko ebirikushangwa omu mirimo eya buriijo. N'ekyarugiremu, abakozi aba nibakira kubingwa omu bwire butari bwa buriijo bateine kirangiriro ky'omutaano nainga endagaano."
613,"After careful consideration of my current projects and commitments, I have decided to stay in my position. The support from my team and the progress we've made motivate me to continue my work.","Oluvannyuma lw'okulowooza ennyo ku pulojekiti zange n'obuvunaanyizibwa bwe nnina kati, nsazeewo okusigala mu kifo kyange. Obuwagizi okuva mu ttiimu yange n'enkulaakulana gye tukoze binkubiriza okugenda mu maaso n'omulimu gwange.","Ingee tam matut I kom yub ma atye kwede kombedi, dong amoko tamma me medde ki ticca. Cwak ma aa ki bot luticca kacel ki dongo lobo ma watimo cuku cwinya me mede ki ticca.","Akaulo naka aomoom ejok nuikamunitos ipurojektin ka aswamisinei ka, aseunit eong asalakin toma adoketait ka. Agangat naka etimuka keda apolou na iswamat sio isinyikokit eong ainyikokin aswamuka.","Mani e'yo ma vile otita sawa 'disi 'diyi ma ale andrizu kililiru 'bori ma vutia, asi 'du e'yo mani ovuzu pari mavileri ma alia. Atita engazu amuti mavileri vu tualu zota amani esu 'diyi pie ri ni ma eka muzu azi mavileri be drile.","Bwanyima y'okushwijuma kurungi purogyekiti zangye ezi nyine obwahati, nshaziremu kuguma omu ntebe yangye. Obushagiki kuruga omu tiimu yangye hamwe n'entunguuka ei tukozire, nibinyongyera amaani g'okugumizamu n'omurimo gwangye."
614,"As the year comes to a close, it's important to recognize the hard work and dedication of your team. A celebration would not only boost morale but also strengthen team bonds.","Omwaka bwe gugenda guggwaako, kya mugaso okusiima omulimu n'obumalirivu bwa ttiimu yo. Okujaguza tekukoma ku kutumbula mpisa naye era kunyweza enkolagana ya ttiimu.","Ka mwaka woto ki tum, pire tek tutwal me pwoyo tic matek ki keto cwiny pa lutic megi. Yub me kwero nino enoni pe bi medo rwom me kwo pa lutuku keken ento bene obi jingo wat ikin lutuku.","Kwape elosi ekaru angetakin, ejokuna ajenun aswam na aswam ka ainakina naka etimukon. Mam ainumunum ebuni aitogogong iponesio luka etimu bon konye aitogogong aiswamanara naka etimu.","Eli ni ecazu i deria, eri orodriru azi ngaza okporu azini asi feza amuti mivileri niri ma e'yo egazu. Omu 'da ni nga lu 'ba eyi ma adriza otu ku te eyi ma eselea eyi ma eselea ri ma omgbo otu indi.","Omwaka ku gurikuza kuhwa, n'eky'omugasho okusiima okukora n'amaani n'okwehayo kwa tiimu yaawe. Omukoro gw'okujaguza tigurikwija kwongyera aha mitwarize y'abateezi b'ebigyere kyonka, beitu nigureetera n'omukago gw'abateezi b'ebigyere kweyongyera."
615,Every individual deserves the opportunity to pursue their career aspirations. It is essential to recognize the fundamental rights that empower people in the workforce.,Buli muntu asaana aweebwe omukisa okutuuka ku biruubirirwa bye eby'omulimu. Kya mugaso okutegeera eddembe ery'omusingi eriwa abantu amaanyi mu bakozi.,Dano weng omyero gunong gum me cobo miti gi. Pire tek tutwal me niang twero ma pire tek ma weko lutic bedo ki kero.,Ibusakinit nginitunganan adumun arerengu na aitodolikin aswamuke. Erai ibore yenepol noi aijen apedorosio nu isinyikokitos itunga aswam.,Le 'ba dria ma esu drileba afa eyini le 'diyi esuzu. Eri orodriru 'bani drilemgbo okporu 'ba azi ngapi 'diyi dri okpo fepi 'diyi ma e'yo egazu.,Buri muntu ashemereire kutunga omugisha gw'okukora ebi arikwenda. N'eky'omugasho kumanya obugabe oburikuhwera abakozi.
616,"As the global market continues to fluctuate, many companies are struggling to adapt to changing consumer demands. This has raised concerns about the sustainability of their operations and profitability.","Nga akatale k'ensi yonna bwe kasigala kakyuka, amakampuni mangi galwana okutuukana n'ebyetaago by'abaguzi ebikyuka. Kino kireeseewo okweraliikirira ku buwangaazi bw'emirimu gyabwe n'amagoba.","Kit ma cuk me wilobo tye ka lokke kwede, dul mapat-pat tye ka yele me timo jami ma luwil mito. Man okelo lworo I kom medde pa ticgi ki nongo magoba.","Kwape inyikokinitos aijulanakineta nuka esokoni loka akwap kere, eutasi ikampunin luipu ainingosit aitodolikin eipuda loka agwelak. Eyangaunit ngin aiyalongong kanu aijar naka aswamukec keda ameda.","Cu wudrikurusiri ni mu drile ojata ma alia, amuti karakara eyi dri ci e'yo 'ba afa je'baa 'diyi ni le 'diyi ojazu. E'yo 'di eji asi otiza e'yo 'yeta yini 'diyi ma ta mbazuri ma dria tualu orodri yini 'diyi pie.","Nk'oku akatare k'ensi yoona karikugumizamu n'okuhinduka, kampuni nyingi ziriyo niziteganisibwa kuhikaana n'ebyetengo by'abaguzi ebirikuhinduka. Eki kireesireho okwerarikirira aha ku emirimo yaabo erikubaasa kugumaho n'amagoba gaayo."
617,"In order to ensure a smooth transition and maintain good relations, it is important to establish clear communication regarding employment status. Therefore, a four weeks notice should be given to employees before termination.","Okusobola okukakasa enkyukakyuka ennungi n'okukuuma enkolagana ennungi, kikulu okuteekawo empuliziganya ennambulukufu ku mbeera y'emirimu. N'olw'ekyo, abakozi balina okutegeezebwa wiiki nnya nga tebannagobwa.","Me neno ni aloka-loka tye maber dok winye tye maber, pire tek tutwal me nywako lok maber I kom kit ma tic tye kwede. Pi meno, omyero kimii ngec me cabit angwen bot lutic mapwod pe ki juku tic gi.","Kanu awanyun ebe ejokuna aijulanakineta kosodete aidar eidicane loajokan, ejokuna aitolomun einer lo ecai loikamunit ejautene loka aswam. Kanuka ngun, ekot aitijenar eswamak isabitin iwongon eringa elemar eswamak.","E'yo ojazu kililiru azini aa'ta muke ri ma ta mbazu, eri orodriru e'yo nzeza kililiru 'diyi e'dozu e'yo azi ni 'diyi ma dria. Ka'dini, le 'ba ma fe azi'ba eyini o'duko sabiti su si de nga po'di 'ba dro eyi azia ku.","Okureeba ngu habaho empindahinduka nungi, n'eky'omugasho okugira empurizagana nungi aha bikwatiraine n'emirimo. N'ahabw'ekyo, abakozi bashemereire kumanyisibwa esande ina batakabemereize."
